height,weight,chest_size,waist_size,size
177.2,86.0,,L,XL
166.94,64.1,M,M,M
173.95,92.2,L,M,XL
166.07,65.7,M,M,M
163.04,53.5,S,S,S
175.91,79.2,M,L,L
185.51,105.1,L,L,XXL
175.73,72.7,L,M,L
171.55,79.0,L,L,L
165.69,64.9,M,,M
176.45,71.8,,M,L
175.87,96.0,,M,XL
169.46,63.3,M,M,M
158.07,54.8,S,S,S
176.44,89.8,L,L,XL
154.97,50.6,S,S,S
173.1,66.6,M,,M
161.29,50.0,S,M,S
186.29,116.0,L,L,XXL
176.56,75.5,L,L,L
174.24,76.5,,,L
155.01,52.3,L,,S
174.83,77.8,L,,L
181.2,112.6,L,,XXL
172.46,91.2,L,L,XL
162.92,48.6,S,M,S
161.2,53.6,M,S,S
166.93,66.1,M,M,M
177.66,75.1,L,L,L
165.15,66.5,M,M,M
178.97,114.6,L,L,XXL
164.72,66.6,S,L,M
174.05,89.0,L,M,XL
177.73,86.8,L,M,XL
176.24,118.5,L,L,XXL
167.86,65.5,,M,M
167.9,65.4,S,M,M
169.05,65.2,M,,M
186.42,106.4,L,L,XXL
175.52,81.1,L,M,L
177.21,110.7,L,L,XXL
177.21,88.7,L,L,XL
175.8,111.0,L,L,XXL
175.67,87.8,L,L,XL
179.41,88.9,L,,XL
182.98,90.3,L,,XL
156.73,53.7,S,S,S
171.15,66.5,L,M,M
166.96,62.1,M,M,M
179.91,105.2,L,L,XXL
168.69,67.8,M,M,M
186.66,112.0,,L,XXL
175.45,75.9,L,L,L
164.3,68.1,,,M
170.49,64.3,M,M,M
176.76,75.8,L,,L
149.69,52.2,S,S,S
167.38,66.2,L,M,M
161.29,58.0,S,L,S
178.27,115.1,L,L,XXL
177.96,88.4,L,L,XL
168.73,59.0,M,M,M
152.0,54.7,S,M,S
161.27,50.7,S,S,S
175.11,75.1,L,L,L
169.96,76.7,L,M,L
164.18,63.4,M,M,M
166.97,67.6,M,M,M
178.07,125.1,L,L,XXL
166.7,65.2,M,M,M
167.27,62.9,L,L,M
184.98,113.4,L,L,XXL
163.81,66.5,,L,M
160.92,63.2,M,,M
164.94,49.7,S,S,S
174.07,77.5,M,L,L
179.7,93.4,L,L,XL
160.2,51.3,L,S,S
173.92,76.1,M,M,L
156.04,53.5,S,S,S
168.04,66.7,M,M,M
179.35,111.3,,L,XXL
159.82,54.1,,,S
169.05,60.1,M,M,M
191.9,109.5,L,L,XXL
168.99,66.1,S,M,M
176.5,87.7,L,L,XL
184.67,109.2,L,L,XXL
174.68,78.3,L,L,L
188.59,110.6,L,L,XXL
159.53,50.7,L,S,S
177.61,83.2,M,,L
159.0,52.7,S,S,S
170.37,70.1,M,L,M
157.23,53.2,M,L,S
169.16,69.3,M,M,M
170.8,62.4,M,,M
165.08,63.0,M,,M
176.85,88.0,L,L,XL
175.78,92.3,,L,XL
164.62,67.8,S,M,M
167.81,61.1,,M,M
168.55,75.8,M,L,L
176.39,79.7,,,L
157.5,51.3,S,,S
172.43,107.1,L,L,XXL
156.37,51.0,L,S,S
173.0,76.4,M,,L
160.48,52.8,S,S,S
182.46,100.9,L,L,XXL
181.77,89.7,,L,XL
167.12,66.8,L,,M
158.01,51.1,,S,S
170.15,75.9,L,L,L
172.37,76.5,L,,L
164.91,71.2,M,,M
170.07,65.0,M,S,M
182.94,97.0,M,L,XL
160.3,52.8,S,,S
182.23,94.3,L,L,XL
164.84,65.1,M,M,M
166.36,64.1,M,M,M
176.21,82.6,L,L,L
172.71,87.3,,L,XL
158.09,55.8,S,,S
158.36,50.4,S,,S
175.6,88.4,L,L,XL
171.79,72.5,L,L,L
177.74,107.7,L,L,XXL
171.7,78.9,M,L,L
177.15,82.4,L,M,L
174.69,77.5,,L,L
167.49,75.1,L,M,L
172.97,94.9,L,L,XL
174.17,79.0,L,,L
173.84,77.4,M,L,L
173.66,86.7,L,L,XL
181.41,123.9,L,L,XXL
182.17,116.9,,L,XXL
178.82,91.2,M,L,XL
