height,weight,chest_size,waist_size,size
152.85,56.1,,,S
167.56,60.2,,S,M
177.99,73.2,L,M,L
163.93,57.7,M,,M
174.36,71.7,M,M,L
176.26,73.8,L,L,L
172.97,76.1,L,L,L
174.69,70.6,L,L,L
175.5,89.5,L,L,XL
170.67,58.6,L,S,M
171.15,106.6,L,L,XXL
168.95,62.2,M,L,M
179.71,87.7,L,,XL
165.1,63.0,S,M,M
165.8,63.0,M,S,M
179.15,78.7,L,L,XL
181.51,108.3,,L,XXL
165.41,66.4,M,L,M
158.69,52.0,S,S,S
156.58,53.2,,S,S
169.37,73.0,L,L,L
174.52,71.5,L,L,L
190.38,99.0,L,L,XXL
170.47,63.2,,M,M
166.66,65.6,,M,M
156.06,53.6,M,M,S
174.34,75.3,L,L,L
165.77,58.8,M,,M
188.9,83.4,L,L,XL
158.14,53.1,,,S
166.22,61.0,M,M,M
167.6,60.2,,,M
183.73,84.9,L,L,XL
186.46,100.2,L,L,XXL
173.22,72.9,M,,L
161.56,49.2,S,M,S
159.92,51.7,S,S,S
179.48,84.4,L,,XL
175.13,72.3,M,L,L
165.86,61.2,L,M,M
178.8,81.7,L,,XL
187.07,100.7,L,L,XXL
167.69,65.3,M,L,M
170.03,63.0,M,M,M
164.87,60.2,M,L,M
171.92,72.5,L,M,L
182.89,93.2,L,L,XXL
161.49,56.0,M,,S
159.35,53.0,S,S,S
159.51,49.0,S,S,S
166.48,66.9,M,M,M
176.26,93.3,L,L,XL
167.78,58.7,M,S,M
175.32,86.3,,L,XL
182.59,86.9,L,L,XL
182.91,93.5,L,L,XXL
180.79,80.6,L,,XL
183.31,84.1,L,,XL
179.89,86.1,,,XL
179.3,91.9,L,,XL
178.27,84.7,L,,XL
175.71,77.4,,,L
177.94,79.2,L,L,XL
184.97,103.6,L,L,XXL
155.27,53.8,M,S,S
157.12,52.7,,,S
177.65,69.0,M,M,L
177.55,74.4,M,L,L
159.08,51.3,S,S,S
159.25,54.0,S,S,S
150.38,54.4,S,M,S
183.42,115.0,L,L,XXL
185.87,103.3,,L,XXL
182.17,88.4,L,L,XL
169.95,64.2,L,,M
156.44,55.7,S,S,S
176.83,68.3,,L,L
167.95,60.9,M,M,M
166.28,64.0,,L,M
160.02,50.1,,S,S
189.51,109.8,L,L,XXL
182.71,106.9,L,L,XXL
175.0,108.3,,,XXL
169.94,58.3,L,M,M
181.52,83.6,L,L,XL
152.48,51.7,,M,S
163.62,62.4,,M,M
155.8,50.4,S,M,S
180.18,99.4,,L,XXL
184.16,108.7,L,L,XXL
174.95,83.9,L,L,XL
155.27,54.4,S,,S
181.6,105.8,L,,XXL
165.12,63.8,M,,M
159.49,48.7,,S,S
172.24,63.9,L,S,M
161.16,56.5,S,S,S
167.44,61.9,M,M,M
167.78,63.9,S,L,M
172.37,70.2,M,,L
178.0,82.2,,,XL
177.41,87.9,L,L,XL
156.12,50.0,,M,S
173.9,85.4,L,L,XL
172.76,71.8,M,L,L
164.96,60.7,L,M,M
158.92,53.4,S,S,S
168.28,67.1,M,M,M
151.75,51.2,M,S,S
176.79,82.8,L,L,XL
179.66,79.8,,L,XL
184.64,89.0,L,,XL
